Timestamp,elab.conway.power
1623679442657,97.459714691239
1623679443457.9,115.43453464056
1623679444258.7,111.15996410619
1623679445059.6,117.25668008838
1623679445860.4,178.78226150547
1623679446661.3,179.75683449405
1623679447462.1,180.185401416
1623679448263,253.00529865285
1623679449063.8,474.73070888216
1623679449864.7,468.51120547895
1623679450665.5,467.6801158234
1623679451466.4,468.02799670391
1623679452267.2,467.30440224222
1623679453068.1,467.2984000569
1623679453868.9,467.36473731403
1623679454669.8,467.20805549284
1623679455470.6,466.67419632049
1623679456271.5,466.44009808182
1623679457072.3,466.55478812733
1623679457873.2,466.95090923628
1623679458674,467.09047840618
1623679459474.9,466.99278883658
1623679460275.7,466.96699529648
1623679461076.6,467.06999957315
1623679461877.4,466.97455372837
1623679462678.3,466.77254048137
1623679463479.1,466.89112176092
1623679464280,466.68139525296
1623679465080.8,466.8311390417
1623679465881.7,466.87004513739
1623679466682.5,467.04696886486
1623679467483.4,467.10213790856
1623679468284.2,467.21472167717
1623679469085.1,467.23700630241
1623679469885.9,467.32107638348
1623679470686.8,467.45824736921
1623679471487.6,467.57436907164
1623679472288.5,467.75280103319
1623679473089.3,467.81331851007
1623679473890.2,467.90207489159
1623679474691,468.01432782668
1623679475491.9,468.083626077
1623679476292.7,467.94733148592
1623679477093.6,467.85169529036
1623679477894.4,467.74727821729
1623679478695.3,467.80435137338
1623679479496.1,468.09673065093
1623679480297,468.02827864725
1623679481097.8,468.20130597155
1623679481898.7,468.35745518287
1623679482699.5,468.59785631644
1623679483500.4,468.75166174646
1623679484301.2,468.71790715093
1623679485102.1,468.96900569209
1623679485902.9,468.91796700222
1623679486703.8,469.21779903125
1623679487504.6,469.1546599398
1623679488305.5,469.52406849116
1623679489106.3,469.53578102587
1623679489907.2,469.57400547558
1623679490708,469.39266041637
1623679491508.9,469.49369236429
1623679492309.8,469.55810232975
1623679493110.6,469.61127034541
1623679493911.5,469.77340867948
1623679494712.3,469.72213424011
1623679495513.2,469.82258936814
1623679496314,469.8895224629
1623679497114.9,469.84663199213
1623679497915.7,469.90587066866
1623679498716.6,470.00469595693
1623679499517.4,470.23199535398
1623679500318.3,470.32084989247
1623679501119.1,470.37398140784
1623679501920,470.23505226088
1623679502720.8,470.02040651005
1623679503521.7,469.83300381874
1623679504322.5,469.35424938161
1623679505123.4,469.25601617529
1623679505924.2,469.10297790024
1623679506725.1,469.19155715614
1623679507525.9,469.24973506864
1623679508326.8,469.29862042442
