metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.20048,0.0224695
"metricq",2376,118733,512.194,0.586399
"perf-freq",1186,118628,2.16432,0.00323365
"perf-ipc",1187,118728,1.38714,0.00135482
