metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.73481,0.00261904
"metricq",76,3749,316.837,0.497464
"perf-freq",37,3602,2.19639,0.000398682
"perf-ipc",38,3702,1.98867,0.000215608
