metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.20255,0.00172638
"metricq",80,3949,241.401,0.23814
"perf-freq",39,3802,1.49779,0.000316931
"perf-ipc",40,3902,2.01696,4.46437e-05
