metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.18612,0.0166378
"metricq",81,3998,234.671,0.267086
"perf-freq",40,3902,1.49769,0.000362169
"perf-ipc",41,4002,1.99517,0.000103573
