metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.18783,0.0308168
"metricq",82,4047,234.052,0.223244
"perf-freq",40,3902,1.49776,0.000317539
"perf-ipc",41,4002,1.98847,9.2566e-05
