metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.19104,0.00246911
"metricq",80,3949,256.098,0.244285
"perf-freq",40,3902,1.49739,0.000446997
"perf-ipc",41,4002,1.99559,0.000337528
