metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.18672,0.0239429
"metricq",91,4501,267.588,0.288919
"perf-freq",45,4402,1.49731,0.00045115
"perf-ipc",46,4502,1.98985,0.000318336
