metric,num_timepoints,duration_ms,average,stddev
"ipc-estimate",128,0,1.75458,0.00255063
"metricq",77,3819,326.514,0.525082
"perf-freq",38,3702,2.19615,0.000689311
"perf-ipc",39,3802,2.00383,0.00019611
